IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.39.120,4,4,0.00,22.80,0.00
104.18.0.63,4,4,0.00,25.89,0.00
104.18.33.110,4,4,0.00,30.40,0.00
172.64.147.8,4,4,0.00,32.97,0.00
104.18.35.114,4,4,0.00,34.65,0.00
104.18.40.142,4,4,0.00,35.43,0.00
172.64.152.14,4,4,0.00,35.92,0.00
104.18.44.253,4,4,0.00,36.14,0.00
172.64.158.86,4,4,0.00,38.11,0.00
172.64.157.54,4,4,0.00,39.13,0.00
172.64.145.252,4,4,0.00,41.22,0.00
172.64.144.190,4,4,0.00,42.31,0.00
104.18.46.153,4,4,0.00,42.88,0.00
172.64.156.156,4,4,0.00,43.48,0.00
104.18.45.143,4,4,0.00,46.09,0.00
104.22.46.85,4,4,0.00,46.55,0.00
104.18.165.94,4,4,0.00,47.85,0.00
104.18.90.43,4,4,0.00,48.20,0.00
104.17.189.150,4,4,0.00,48.30,0.00
104.16.242.58,4,4,0.00,48.66,0.00
104.19.146.89,4,4,0.00,48.69,0.00
104.16.247.188,4,4,0.00,48.72,0.00
104.16.5.5,4,4,0.00,48.80,0.00
104.17.144.185,4,4,0.00,48.86,0.00
104.17.164.124,4,4,0.00,49.09,0.00
104.17.50.146,4,4,0.00,49.19,0.00
104.16.147.81,4,4,0.00,49.20,0.00
104.16.202.58,4,4,0.00,49.26,0.00
104.16.11.9,4,4,0.00,49.61,0.00
104.17.190.103,4,4,0.00,49.61,0.00
198.41.208.116,4,4,0.00,49.63,0.00
104.17.155.39,4,4,0.00,49.63,0.00
104.22.34.124,4,4,0.00,49.73,0.00
104.17.48.233,4,4,0.00,49.77,0.00
104.16.149.113,4,4,0.00,49.81,0.00
104.17.187.235,4,4,0.00,49.97,0.00
104.19.156.4,4,4,0.00,50.06,0.00
104.17.166.135,4,4,0.00,50.09,0.00
104.16.243.154,4,4,0.00,50.16,0.00
104.22.35.147,4,4,0.00,50.19,0.00
104.19.151.123,4,4,0.00,50.46,0.00
104.17.151.170,4,4,0.00,50.50,0.00
104.19.34.41,4,4,0.00,50.51,0.00
104.17.100.219,4,4,0.00,50.53,0.00
104.17.176.27,4,4,0.00,50.61,0.00
104.19.39.153,4,4,0.00,50.67,0.00
104.18.82.168,4,4,0.00,50.68,0.00
104.17.168.133,4,4,0.00,50.70,0.00
104.18.171.78,4,4,0.00,50.85,0.00
104.17.182.192,4,4,0.00,50.88,0.00
104.17.118.222,4,4,0.00,50.89,0.00
104.17.201.237,4,4,0.00,50.91,0.00
104.16.196.133,4,4,0.00,50.94,0.00
104.18.89.239,4,4,0.00,50.95,0.00
104.17.49.70,4,4,0.00,50.95,0.00
104.19.150.104,4,4,0.00,51.02,0.00
104.25.246.64,4,4,0.00,51.07,0.00
104.16.145.212,4,4,0.00,51.22,0.00
104.25.244.178,4,4,0.00,51.23,0.00
104.17.57.250,4,4,0.00,51.39,0.00
104.17.24.73,4,4,0.00,51.51,0.00
104.17.222.105,4,4,0.00,51.53,0.00
104.17.22.81,4,4,0.00,51.53,0.00
104.25.242.231,4,4,0.00,51.60,0.00
104.19.40.217,4,4,0.00,51.61,0.00
104.16.200.104,4,4,0.00,51.63,0.00
104.17.106.10,4,4,0.00,51.65,0.00
172.64.146.106,4,4,0.00,51.66,0.00
104.17.138.55,4,4,0.00,51.70,0.00
104.17.123.168,4,4,0.00,51.73,0.00
104.19.32.130,4,4,0.00,51.75,0.00
104.25.248.244,4,4,0.00,51.77,0.00
104.16.249.47,4,4,0.00,51.89,0.00
104.17.97.13,4,4,0.00,51.90,0.00
104.25.252.108,4,4,0.00,51.97,0.00
104.17.220.75,4,4,0.00,51.97,0.00
104.16.155.230,4,4,0.00,51.99,0.00
172.64.229.84,4,4,0.00,52.00,0.00
